Junction,hour,abs_error_rf
1,0,5.369054171949697
1,1,5.0108603303148405
1,2,5.2989647527560955
1,3,5.283083153179546
1,4,4.604410605982553
1,5,5.17169205817004
1,6,4.934912381530272
1,7,5.4212918472487015
1,8,5.031428597702706
1,9,4.615709714218828
1,10,4.933891004162814
1,11,4.998664147231529
1,12,4.95485918730579
1,13,4.91535396233556
1,14,5.518237189839092
1,15,5.3022348269507855
1,16,4.403804217125662
1,17,5.476221568145499
1,18,4.754543602454697
1,19,4.913309863401689
1,20,5.203892650551258
1,21,4.60000607980141
1,22,5.023691207569423
1,23,5.047675425394909
2,0,3.3202078820563403
2,1,3.5838922966727123
2,2,3.4524118798415264
2,3,3.168088200860821
2,4,3.3572703108213653
2,5,3.4971859625086505
2,6,3.564668148013372
2,7,3.487111163607339
2,8,3.406263482460824
2,9,3.2725254289244874
2,10,3.58383287974365
2,11,3.2620110119433936
2,12,3.5903319726318386
2,13,3.1622772094421223
2,14,3.595178784871355
2,15,3.306685307446669
2,16,3.65693074267491
2,17,3.297978426638381
2,18,3.5831656869373485
2,19,3.5305497107785433
2,20,3.2476512062895733
2,21,3.0453701656627747
2,22,3.6293316418336974
2,23,2.923503525545073
3,0,2.5318947272597487
3,1,2.4800339447156863
3,2,2.42263384032406
3,3,2.620941367598039
3,4,2.4456661649375415
3,5,2.6670120182031125
3,6,2.4075265817008105
3,7,2.491995328179314
3,8,2.8698014501904856
3,9,2.745407028509742
3,10,2.7895119546691394
3,11,2.571619318852338
3,12,2.4328686767643415
3,13,2.471292322835248
3,14,2.349535145837115
3,15,2.3780633954929367
3,16,2.9066452764439483
3,17,2.7267296506216168
3,18,2.8604443757838864
3,19,2.617346368680883
3,20,2.613528079630828
3,21,2.8758605372324006
3,22,2.614367891608771
3,23,2.2372627243379863
4,0,1.7371517204225682
4,1,1.6194461289593003
4,2,1.7254567971856671
4,3,1.6766128533989735
4,4,1.5046246993802745
4,5,1.7245487852228703
4,6,1.9394867294385074
4,7,1.5838762247313207
4,8,1.8470652247474828
4,9,1.5196385359506563
4,10,1.6762446584691568
4,11,1.736093876373684
4,12,1.4715238141130211
4,13,1.618233425383717
4,14,1.906707428982004
4,15,1.6210260052103869
4,16,1.8530267192954069
4,17,1.761472179750572
4,18,1.3740759502476794
4,19,1.6068264443678988
4,20,1.6685019375035648
4,21,1.69391962130949
4,22,1.5889216324782476
4,23,1.7758030025963183
